postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3137,13872,25,128,180.2,3,4,22/10/2021,23/10/2021
3138,21964,25,88,113.8,2,4,22/10/2021,23/10/2021
3139,13722,17,40,123.9,3,4,22/10/2021,23/10/2021
3140,16532,41,102,248,6,5,22/10/2021,23/10/2021
3141,25149,56,201,222.7,2,5,22/10/2021,23/10/2021
3142,12912,22,70,170.4,1,4,22/10/2021,23/10/2021
3143,9052,22,67,243,0,5,22/10/2021,23/10/2021
3144,10885,16,53,147,2,4,22/10/2021,23/10/2021
3145,23294,22,121,94.4,1,3,22/10/2021,23/10/2021
3146,25256,27,94,106.9,2,4,22/10/2021,23/10/2021
3147,14634,27,87,184.5,2,4,22/10/2021,23/10/2021
3148,8643,28,79,324,2,5,22/10/2021,23/10/2021
3149,33612,28,140,83.3,1,3,22/10/2021,23/10/2021
3150,60082,85,255,141.5,1,4,22/10/2021,23/10/2021
3151,10269,12,38,116.9,1,4,22/10/2021,23/10/2021
3152,33089,49,141,148.1,2,4,22/10/2021,23/10/2021
3153,20552,42,168,204.4,7,5,22/10/2021,23/10/2021
3154,4418,4,28,90.5,1,3,22/10/2021,23/10/2021
3155,22193,71,149,319.9,3,5,22/10/2021,23/10/2021
3156,37458,89,200,237.6,7,5,22/10/2021,23/10/2021
3158,6648,11,28,165.5,0,4,22/10/2021,23/10/2021
3159,2652,2,7,75.4,0,3,22/10/2021,23/10/2021
3160,9014,12,42,133.1,0,4,22/10/2021,23/10/2021
3161,15271,41,104,268.5,5,5,22/10/2021,23/10/2021
3162,17452,58,123,332.3,1,5,22/10/2021,23/10/2021
3163,32355,66,188,204,5,5,22/10/2021,23/10/2021
3164,0,0,0,0,0,0,22/10/2021,23/10/2021
3165,27636,53,141,191.8,2,4,22/10/2021,23/10/2021
3166,23759,67,194,282,5,5,22/10/2021,23/10/2021
3167,9259,23,63,248.4,1,5,22/10/2021,23/10/2021
3168,20200,47,168,232.7,2,5,22/10/2021,23/10/2021
3169,20122,107,217,531.8,5,6,22/10/2021,23/10/2021
3170,19370,83,178,428.5,7,5,22/10/2021,23/10/2021
3171,21713,165,262,759.9,12,6,22/10/2021,23/10/2021
3172,23091,182,257,788.2,7,6,22/10/2021,23/10/2021
3173,25785,204,391,791.2,6,6,22/10/2021,23/10/2021
3174,38465,364,679,946.3,17,6,22/10/2021,23/10/2021
3175,53297,773,1517,1450.4,87,7,22/10/2021,23/10/2021
3177,11305,169,337,1494.9,9,7,22/10/2021,23/10/2021
3178,33669,71,181,210.9,7,5,22/10/2021,23/10/2021
3179,6019,7,33,116.3,2,4,22/10/2021,23/10/2021
3180,7462,18,51,241.2,1,5,22/10/2021,23/10/2021
3181,20267,38,209,187.5,2,4,22/10/2021,23/10/2021
3182,23394,99,315,423.2,3,5,22/10/2021,23/10/2021
3183,18491,82,203,443.5,8,5,22/10/2021,23/10/2021
3184,15547,28,104,180.1,5,4,22/10/2021,23/10/2021
3185,12932,36,92,278.4,1,5,22/10/2021,23/10/2021
3186,23258,39,203,167.7,3,4,22/10/2021,23/10/2021
3187,15997,38,103,237.5,2,5,22/10/2021,23/10/2021
3188,18082,43,93,237.8,0,5,22/10/2021,23/10/2021
3189,5894,18,38,305.4,3,5,22/10/2021,23/10/2021
3190,10457,31,130,296.5,0,5,22/10/2021,23/10/2021
3191,10242,8,53,78.1,3,3,22/10/2021,23/10/2021
3192,22292,28,126,125.6,1,4,22/10/2021,23/10/2021
3193,19505,16,58,82,0,3,22/10/2021,23/10/2021
3194,12965,21,57,162,1,4,22/10/2021,23/10/2021
3315,1629,0,0,0,0,0,22/10/2021,23/10/2021
3317,197,0,0,0,0,0,22/10/2021,23/10/2021
3318,1265,0,0,0,0,0,22/10/2021,23/10/2021
3319,345,0,0,0,0,0,22/10/2021,23/10/2021
3321,1519,1,3,65.8,0,3,22/10/2021,23/10/2021
